student_id,week,year,major,current_gpa,assignment_score,attendance_rate,classes_missed,assignments_on_time,assignments_late,assignments_missing,hours_before_deadline,lms_logins,time_on_lms_hours,video_completion_rate,forum_posts,days_since_last_login,library_visits,library_study_hours,campus_activities,peer_interactions,sleep_quality,sleep_hours,stress_level,exercise_frequency,office_hours_visits,tutoring_sessions,counseling_visits,burnout_status,burnout_severity
1,1,4,Arts,3.58,83.8,0.819,0,3,0,0,42,13,12.8,0.757,3,1,4,10.2,2,11,4.6,7.3,3.7,2,2,2,0,0,0.0
1,2,4,Arts,3.86,86.0,0.953,0,3,0,0,48,14,11.9,0.775,5,2,3,9.2,1,9,6.3,6.3,3.6,2,2,1,0,0,0.0
1,3,4,Arts,3.74,66.6,0.948,0,3,0,0,46,15,12.9,0.916,4,2,4,10.8,1,5,5.1,6.3,4.6,2,2,2,0,0,0.0
1,4,4,Arts,3.79,99.7,0.864,0,3,0,0,57,17,15.5,0.896,5,0,2,8.1,2,6,7.3,6.3,3.7,2,1,2,0,0,0.0
1,5,4,Arts,3.83,93.2,0.935,0,3,0,0,49,17,10.8,0.818,4,0,4,9.6,1,7,7.7,6.9,4.8,2,1,1,0,0,0.0
1,6,4,Arts,3.54,74.0,0.966,0,3,0,0,33,13,11.0,0.88,4,0,2,8.3,1,10,8.0,6.8,3.9,3,2,1,0,0,0.0
1,7,4,Arts,3.65,78.1,0.956,0,3,0,0,52,13,12.7,0.848,4,2,3,10.8,2,8,6.6,7.4,4.7,2,2,1,0,0,0.0
1,8,4,Arts,3.42,96.7,0.964,0,3,0,0,37,15,9.1,0.747,3,1,4,10.0,2,8,7.5,6.9,4.2,3,3,4,0,0,0.0
1,9,4,Arts,3.73,83.4,0.913,0,3,0,0,47,9,12.3,0.848,3,0,3,9.2,1,5,7.9,7.5,4.4,2,1,2,0,0,0.0
1,10,4,Arts,3.71,65.6,0.878,0,3,0,0,48,19,14.3,0.813,4,0,4,10.0,2,9,6.7,7.3,2.1,3,1,1,0,0,0.0
1,11,4,Arts,3.44,82.3,0.975,0,3,0,0,36,13,13.3,0.742,3,0,3,7.9,2,7,7.4,6.6,2.2,3,1,1,0,0,0.0
1,12,4,Arts,3.72,79.4,0.914,0,3,0,0,53,10,16.0,0.73,3,1,5,9.2,2,4,7.4,6.7,4.8,2,2,1,0,0,0.0
1,13,4,Arts,3.54,65.1,0.877,0,3,0,0,44,17,15.6,0.782,3,0,3,11.7,1,7,7.3,8.1,3.2,3,2,1,0,0,0.0
1,14,4,Arts,3.59,82.2,0.89,0,3,0,0,53,13,14.2,1.0,3,1,3,10.0,2,11,7.4,7.3,4.1,3,2,1,0,0,0.0
1,15,4,Arts,3.78,89.5,0.863,0,3,0,0,48,16,10.2,0.78,4,0,2,12.2,1,11,5.9,7.6,4.0,2,2,2,0,0,0.0
1,16,4,Arts,3.72,100.0,1.0,0,3,0,0,39,13,12.8,0.899,5,3,2,12.3,2,6,5.7,6.8,7.3,2,1,1,0,0,0.0
